year,nonth,state,county,rate
2016,November,Mississippi,Newton County,5.4
2016,November,Mississippi,Panola County,6.4
2016,November,Mississippi,Monroe County,5.5
2016,November,Mississippi,Hinds County,4.9
2016,November,Mississippi,Kemper County,9.2
2016,November,Mississippi,Calhoun County,4.8
2016,November,Mississippi,Clarke County,6.2
2016,November,Mississippi,Jefferson County,10.8
2016,November,Mississippi,Madison County,3.9
2016,November,Mississippi,Sharkey County,7.6
2016,November,Mississippi,Tunica County,5.9
2016,November,Mississippi,Tate County,5.0
2016,November,Mississippi,Lafayette County,4.1
2016,November,Mississippi,Bolivar County,6.4
2016,November,Mississippi,Stone County,6.2
2016,November,Mississippi,Noxubee County,7.6
2016,November,Mississippi,Lamar County,3.9
2016,November,Mississippi,Lee County,4.4
2016,November,Mississippi,Desoto County,3.7
2016,November,Mississippi,Adams County,7.3
2016,November,Mississippi,Pontotoc County,4.3
2016,November,Mississippi,Marion County,6.0
2016,November,Mississippi,Jasper County,6.6
2016,November,Mississippi,Simpson County,5.0
2016,November,Mississippi,Sunflower County,8.1
2016,November,Mississippi,Hancock County,5.6
2016,November,Mississippi,Winston County,6.5
2016,November,Mississippi,Carroll County,7.1
2016,November,Mississippi,Copiah County,5.9
2016,November,Mississippi,Jefferson Davis County,7.4
2016,November,Mississippi,Lincoln County,5.1
2016,November,Mississippi,Marshall County,5.1
2016,November,Mississippi,Jackson County,6.0
2016,November,Mississippi,Pike County,6.0
2016,November,Mississippi,Prentiss County,4.9
2016,November,Mississippi,Perry County,6.2
2016,November,Mississippi,Franklin County,6.0
2016,November,Mississippi,Lowndes County,5.6
2016,November,Mississippi,Quitman County,8.5
2016,November,Mississippi,Neshoba County,5.4
2016,November,Mississippi,Clay County,6.9
2016,November,Mississippi,Attala County,6.2
2016,November,Mississippi,Alcorn County,4.8
2016,November,Mississippi,Chickasaw County,5.8
2016,November,Mississippi,Humphreys County,9.4
2016,November,Mississippi,Greene County,6.2
2016,November,Mississippi,Leflore County,8.4
2016,November,Mississippi,Benton County,5.4
2016,November,Mississippi,Coahoma County,7.3
2016,November,Mississippi,Lawrence County,6.1
2016,November,Mississippi,Tishomingo County,5.0
2016,November,Mississippi,Covington County,4.9
2016,November,Mississippi,Tippah County,4.7
2016,November,Mississippi,Smith County,4.8
2016,November,Mississippi,Washington County,8.1
2016,November,Mississippi,Holmes County,9.2
2016,November,Mississippi,Pearl River County,5.5
2016,November,Mississippi,Itawamba County,4.5
2016,November,Mississippi,Yalobusha County,5.3
2016,November,Mississippi,Lauderdale County,5.8
2016,November,Mississippi,Oktibbeha County,4.6
2016,November,Mississippi,Harrison County,5.1
2016,November,Mississippi,Amite County,6.5
2016,November,Mississippi,Webster County,5.6
2016,November,Mississippi,Scott County,4.5
2016,November,Mississippi,Wilkinson County,8.3
2016,November,Mississippi,Union County,4.0
2016,November,Mississippi,Rankin County,3.7
2016,November,Mississippi,Issaquena County,11.8
2016,November,Mississippi,Choctaw County,4.7
2016,November,Mississippi,Tallahatchie County,5.5
2016,November,Mississippi,Leake County,6.4
2016,November,Mississippi,Walthall County,6.7
2016,November,Mississippi,Claiborne County,9.8
2016,November,Mississippi,Wayne County,6.7
2016,November,Mississippi,Yazoo County,6.2
2016,November,Mississippi,Montgomery County,5.7
2016,November,Mississippi,Forrest County,5.1
2016,November,Mississippi,George County,6.3
2016,November,Mississippi,Jones County,5.4
2016,November,Mississippi,Grenada County,5.0
2016,November,Mississippi,Warren County,5.8
2016,November,Oklahoma,Major County,3.9
2016,November,Oklahoma,Pottawatomie County,4.4
2016,November,Oklahoma,Johnston County,5.7
2016,November,Oklahoma,Jefferson County,7.1
2016,November,Oklahoma,Beaver County,2.7
2016,November,Oklahoma,Stephens County,9.1
2016,November,Oklahoma,Washita County,6.4
2016,November,Oklahoma,Marshall County,4.9
2016,November,Oklahoma,Atoka County,6.2
2016,November,Oklahoma,Noble County,3.4
2016,November,Oklahoma,Pittsburg County,6.3
2016,November,Oklahoma,Woodward County,5.4
2016,November,Oklahoma,Beckham County,6.8
2016,November,Oklahoma,Canadian County,3.9
2016,November,Oklahoma,Payne County,3.5
2016,November,Oklahoma,Woods County,2.9
2016,November,Oklahoma,Pontotoc County,3.9
2016,November,Oklahoma,Blaine County,3.4
2016,November,Oklahoma,Le Flore County,6.6
2016,November,Oklahoma,Adair County,5.6
2016,November,Oklahoma,Rogers County,4.8
2016,November,Oklahoma,Craig County,4.8
2016,November,Oklahoma,Kingfisher County,3.2
2016,November,Oklahoma,Lincoln County,4.9
2016,November,Oklahoma,Delaware County,4.9
2016,November,Oklahoma,Jackson County,4.3
2016,November,Oklahoma,Bryan County,4.0
2016,November,Oklahoma,Hughes County,6.8
2016,November,Oklahoma,McCurtain County,7.3
2016,November,Oklahoma,Comanche County,4.4
2016,November,Oklahoma,Logan County,3.8
2016,November,Oklahoma,Okmulgee County,7.2
2016,November,Oklahoma,Garfield County,4.2
2016,November,Oklahoma,Roger Mills County,4.6
