Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,24,OKC,50,5,775,77,197,.391,54,144,.375,23,53,.434,.528,32,37,.865,17,62,79,19,27,5,21,88,240
2,Quincy Acy\acyqu01,PF,27,BRK,49,6,980,86,255,.337,66,198,.333,20,57,.351,.467,42,52,.808,32,173,205,33,23,16,50,101,280
3,Steven Adams\adamsst01,C,24,OKC,51,51,1647,304,482,.631,0,2,.000,304,480,.633,.631,100,170,.588,265,196,461,48,63,49,79,146,708
4,Bam Adebayo\adebaba01,C,20,MIA,46,11,934,123,222,.554,0,6,.000,123,216,.569,.554,82,115,.713,78,165,243,74,27,30,42,94,328
5,Arron Afflalo\afflaar01,SG,32,ORL,40,2,502,43,115,.374,16,45,.356,27,70,.386,.443,16,20,.800,3,48,51,21,2,7,15,43,118
6,Cole Aldrich\aldrico01,C,29,MIN,12,0,28,3,9,.333,0,0,,3,9,.333,.333,2,4,.500,3,4,7,1,2,1,1,6,8
7,LaMarcus Aldridge\aldrila01,C,32,SAS,53,53,1800,469,940,.499,25,76,.329,444,864,.514,.512,226,271,.834,179,270,449,106,29,63,83,120,1189
8,Jarrett Allen\allenja01,C,19,BRK,47,6,857,143,247,.579,3,9,.333,140,238,.588,.585,65,84,.774,88,146,234,29,21,39,44,93,354
9,Kadeem Allen\allenka01,PG,25,BOS,7,0,27,1,6,.167,0,3,.000,1,3,.333,.167,3,4,.750,1,2,3,1,1,0,3,2,5
10,Tony Allen\allento01,SF,36,NOP,22,0,273,44,91,.484,4,12,.333,40,79,.506,.505,11,21,.524,20,27,47,9,11,3,19,49,103
11,Al-Farouq Aminu\aminual01,PF,27,POR,42,40,1266,146,362,.403,81,205,.395,65,157,.414,.515,34,46,.739,50,261,311,47,38,28,43,76,407
12,Justin Anderson\anderju01,SF,24,PHI,23,0,322,50,113,.442,18,55,.327,32,58,.552,.522,16,22,.727,17,39,56,13,11,4,7,36,134
13,Kyle Anderson\anderky01,SF,24,SAS,48,42,1311,148,288,.514,11,32,.344,137,256,.535,.533,71,89,.798,53,226,279,130,67,37,63,71,378
14,Ryan Anderson\anderry01,PF,29,HOU,51,50,1430,172,399,.431,107,282,.379,65,117,.556,.565,61,77,.792,77,196,273,50,22,16,40,96,512
15,Ike Anigbogu\anigbik01,C,19,IND,10,0,28,4,9,.444,0,0,,4,9,.444,.444,5,6,.833,5,4,9,0,1,3,2,1,13
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,49,49,1810,499,922,.541,25,82,.305,474,840,.564,.555,344,453,.759,108,400,508,231,72,62,136,146,1367
17,Carmelo Anthony\anthoca01,PF,33,OKC,54,54,1738,343,833,.412,109,314,.347,234,519,.451,.477,121,156,.776,39,284,323,76,34,35,69,142,916
18,OG Anunoby\anunoog01,SF,20,TOR,54,42,1145,120,268,.448,55,159,.346,65,109,.596,.550,33,46,.717,35,99,134,44,46,8,32,98,328
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,9,0,90,4,9,.444,2,7,.286,2,2,1.000,.556,2,2,1.000,0,4,4,9,4,0,1,8,12
