country,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AUSTRIA,,,,"4,524","4,579","4,628","4,676","4,758","4,847","4,930","5,010","5,076","5,139","5,202"
BELGIUM,,,,"5,535","5,620","5,718","5,818","5,903","6,040","6,138","6,184","6,241","6,328","6,426"
DENMARK,,,,"2,450","2,545","2,621","2,646","2,644","2,664","2,682","2,705","2,731","2,769","2,838"
FINLAND,,,,"2,501","2,580","2,574","2,543","2,542","2,581","2,629","2,657","2,673","2,691","2,708"
FRANCE,,,,"36,298","36,661","37,033","37,212","37,438","37,744","38,067","38,138","38,200","38,408","38,652"
GERMANY,,,,"49,223","49,742","44,021","44,180","44,631","45,262","45,984","46,538","47,015","47,648","48,427"
GREECE,,,,"5,516","5,790","6,082","6,341","6,462","6,563","6,552","6,513","6,467","6,427","6,205"
ICELAND,,,,214,227,241,244,241,243,238,242,246,251,262
IRELAND,,,,"1,949","2,097","2,229","2,276","2,246","2,200","2,209","2,192","2,228","2,261","2,316"
ITALY,,,,"39,089","39,877","40,368","40,894","41,213","41,650","42,067","42,000","41,830","41,946","42,242"
LUXEMBOURG,,,,338,347,356,365,369,375,385,395,403,413,423
NETHERLANDS,,,,"8,163","8,295","8,475","8,643","8,716","8,816","8,925","8,959","9,207","9,238","9,395"
NORWAY,,,,"2,523","2,600","2,693","2,744","2,790","2,856","2,930","3,004","3,066","3,124","3,183"
PORTUGAL,,,,"5,523","5,625","5,727","5,757","5,810","5,833","5,873","5,807","5,753","5,748","5,872"
SPAIN,,,,"25,158","26,228","27,174","27,613","27,389","27,513","27,596","27,481","27,155","27,115","27,463"
SWEDEN,,,,"4,629","4,695","4,775","4,803","4,829","4,875","4,963","5,018","5,075","5,181","5,279"
SWITZERLAND,,,,"4,242","4,289","4,357","4,385","4,408","4,483","4,587","4,691","4,766","4,840","4,924"
UNITED KINGDOM,,,,"34,394","34,935","35,354","35,538","35,217","35,479","35,632","35,761","36,468","37,113","38,220"
BULGARIA,,,,"2,909","2,016","2,367","2,690","2,842","2,960","3,065","3,197","3,321","3,449","3,630"
CROATIA,,,,"1,549","1,606","1,661","1,722","1,715","1,686","1,685","1,599","1,602","1,631","1,663"
CYPRUS,,,,477,492,532,569,589,587,591,592,587,586,594
CZECH REPUBLIC,,,,"4,489","4,691","4,931","5,134","5,140","5,197","5,285","5,405","5,521","5,646","5,890"
ESTONIA,,,,585,652,608,639,631,638,663,694,725,754,783
HUNGARY,,,,"3,319","3,401","3,474","3,529","3,484","3,453","3,438","3,458","3,521","3,604","3,711"
LATVIA,,,,866,954,"1,045","1,073","1,035",714,690,700,719,746,770
LITHUANIA,,,,"1,592","1,743","1,750","1,835","1,855","1,839","1,863","1,905","1,965",1312,1354
MALTA,,,,252,259,266,271,275,281,287,297,304,315,325
POLAND,,,,"14,820","15,964","17,308","19,006","19,520","20,459","21,253","22,173","22,850","23,448","24,250"
ROMANIA,,,,"3,897","3,788","4,177","4,714","4,948","5,028","5,072","5,249","5,442","5,705","6,009"
SLOVAKIA,,,,"1,510","1,551","1,679","1,824","1,888","1,971","2,058","2,126","2,198","2,282","2,379"
SLOVENIA,,,,"1,037","1,061","1,104","1,143","1,157","1,161","1,166","1,166","1,165","1,173","1,188"
ALBANIA,,,,272,302,329,351,368,386,379,363,413,453,481
BELARUS,,,,"2,188","2,409","2,563","2,706","2,872","3,044","3,192","3,198","3,239","3,411","3,502"
BOSNIA,,,,605,629,674,733,764,805,814,682,747,882,911
GEORGIA,,,,414,466,519,598,642,687,745,803,874,964,"1,044"
MACEDONIA,,,,273,261,278,294,317,346,348,335,385,412,426
MOLDAVIA,,,,395,424,455,504,528,557,590,630,663,694,715
RUSSIA,,,,"31,212","32,547","35,455","38,264","39,303","40,661","42,862","45,422","48,132","50,500","51,355"
SERBIA,,,,"1,625","1,664","1,632","1,650","1,809","1,725","1,846","1,879","1,920","1,997","2,042"
TURKEY,,,,"8,427","9,080","9,653","10,191","10,611","11,266","12,062","12,827","13,651","14,373","15,361"
UKRAINE,,,,"6,733","6,862","7,225","7,771","7,866","8,128","8,259","8,907","9,233","9,160","9,100"
CANADA,,,,"18,910","19,580","20,071","20,520","20,792","21,231","21,616","21,705","22,334","22,850","23,215"
MEXICO,,,,"21,550","24,185","25,869","28,208","29,692","30,482","31,965","33,293","34,870","35,754","37,354"
UNITED STATES OF AMERICA,,,,"237,697","244,643","248,701","249,813","248,972","248,232","248,932","251,497","252,715","258,027","264,194"
