Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Abraham Lincoln Birthplace NHP,"200,404","221,111","177,122","163,568","169,515","163,928","241,264","148,605","252,495",,,"269,580"
Acadia NP,"2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393",,,"3,509,271"
Adams NHP,"241,536","253,656","73,339","219,975","336,031","285,501","178,468","183,632","199,301",,,"255,562"
African Burial Ground NM,,,"117,113","108,585","77,624","93,234","54,861","56,348","46,526",,,"43,182"
Agate Fossil Beds NM,"12,425","12,694","12,509","11,617","11,824","10,504","12,440","13,264","15,555",,,"32,038"
Alibates Flint Quarries NM,"2,297","2,918","4,350","3,214","3,383","1,555","4,513","9,492","8,153",,,"6,613"
Allegheny Portage Railroad NHS,"113,991","118,931","107,363","118,410","138,864","107,977","172,883","168,433","189,371",,,"201,837"
Amistad NRA,"1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530",,,"1,221,635"
Andersonville NHS,"159,592","136,267","121,535","108,812","122,883","98,771","127,189","136,686","134,216",,,"132,149"
Andrew Johnson NHS,"69,433","63,296","60,323","52,322","51,261","42,929","42,863","45,357","45,937",,,"53,998"
Aniakchak NM & PRES,10,14,62,57,19,134,134,153,100,,,100
Antietam NB,"352,548","378,966","393,957","384,987","510,921","370,832","337,079","347,180","351,911",,,"366,508"
Apostle Islands NL,"162,871","170,202","156,945","176,040","163,419","148,556","290,059","232,662","183,796",,,"203,421"
Appomattox Court House NHP,"178,748","185,443","216,220","258,917","320,668","317,660","278,776","412,640","303,139",,,"113,960"
Arches NP,"928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718",,,"1,539,028"
Arkansas Post NMEM,"43,137","32,160","34,712","37,127","39,703","36,420","30,860","38,702","34,405",,,"36,079"
Arlington House The R.E. Lee MEM,"518,515","603,773","627,576","576,816","562,772","586,531","671,638","532,050","1,057,500",,,"726,059"
Assateague Island NS,"2,011,438","2,129,658","2,106,090","2,105,419","2,154,859","2,056,828","2,170,681","2,275,606","2,267,821",,,"2,347,167"
Aztec Ruins NM,"38,709","38,234","37,437","41,106","44,744","41,312","44,721","53,165","57,692",,,"52,756"
