lat,lon,alt,date,device,os,version
40.7296676636,-73.9934768677,14.5652666092,2017-03-30 23:42:56,"iPhone7,2",10.2.1,1.1
40.7285232544,-73.9938354492,14.5652666092,2017-03-30 23:45:04,"iPhone7,2",10.2.1,1.1
40.7296028137,-73.9934692383,14.4577283859,2017-03-30 23:47:12,"iPhone7,2",10.2.1,1.1
40.7357673645,-73.9906616211,13.2710437775,2017-03-31 01:08:16,"iPhone7,2",10.2.1,1.1
40.7495918274,-73.9875183105,15,2017-03-31 01:12:32,"iPhone7,2",10.2.1,1.1
40.7556648254,-73.989654541,24.0122013092,2017-03-31 01:18:56,"iPhone7,2",10.2.1,1.1
40.7589988708,-74.0086517334,18.3589496613,2017-03-31 01:50:56,"iPhone7,2",10.2.1,1.1
40.7598114014,-74.0224914551,2.37131118774,2017-03-31 01:55:12,"iPhone7,2",10.2.1,1.1
40.7776374817,-74.0089569092,4.37698364258,2017-03-31 02:01:36,"iPhone7,2",10.2.1,1.1
40.7905845642,-73.9958190918,7.79408454895,2017-03-31 02:05:52,"iPhone7,2",10.2.1,1.1
40.8052406311,-73.9922866821,4.51090669632,2017-03-31 02:12:16,"iPhone7,2",10.2.1,1.1
40.7941246033,-73.9806137085,5.59674072266,2017-03-31 13:02:56,"iPhone7,2",10.2.1,1.1
40.8027687073,-73.9940948486,5.59674072266,2017-03-31 13:09:20,"iPhone7,2",10.2.1,1.1
40.8200531006,-73.9864959717,5.59674072266,2017-03-31 13:15:44,"iPhone7,2",10.2.1,1.1
40.8425292969,-73.9954071045,5.59674072266,2017-03-31 13:24:16,"iPhone7,2",10.2.1,1.1
40.8296508789,-73.9917144775,5.59674072266,2017-03-31 13:39:12,"iPhone7,2",10.2.1,1.1
40.8071594238,-73.9934234619,5.59674072266,2017-03-31 13:47:44,"iPhone7,2",10.2.1,1.1
40.8188095093,-73.988571167,13.4391994476,2017-03-31 19:26:56,"iPhone7,2",10.2.1,1.1
40.8309822083,-73.9926376343,37.5702934265,2017-03-31 19:33:20,"iPhone7,2",10.2.1,1.1
40.8401908875,-73.9874954224,80.5621261597,2017-03-31 19:37:36,"iPhone7,2",10.2.1,1.1
40.835308075,-73.9905929565,78.7794036865,2017-03-31 19:56:48,"iPhone7,2",10.2.1,1.1
40.8164710999,-73.9891738892,66.9705734253,2017-03-31 20:05:20,"iPhone7,2",10.2.1,1.1
40.7776641846,-73.9960098267,4.77859306335,2017-03-31 20:11:44,"iPhone7,2",10.2.1,1.1
40.8033103943,-73.992401123,7.15346384048,2017-03-31 20:18:08,"iPhone7,2",10.2.1,1.1
40.8085784912,-73.9914932251,21.6294555664,2017-04-01 18:29:20,"iPhone7,2",10.2.1,1.1
40.8284950256,-73.9898605347,86.9662475586,2017-04-01 18:33:36,"iPhone7,2",10.2.1,1.1
40.8421516418,-73.9954452515,29.5710144043,2017-04-01 18:37:52,"iPhone7,2",10.2.1,1.1
40.8672981262,-74.0340194702,19.7720451355,2017-04-01 18:44:16,"iPhone7,2",10.2.1,1.1
40.8925743103,-74.0711212158,7.34343528748,2017-04-01 18:48:32,"iPhone7,2",10.2.1,1.1
40.9161453247,-74.0551147461,11.8673181534,2017-04-01 18:54:56,"iPhone7,2",10.2.1,1.1
40.9146080017,-74.0493545532,20.0648059845,2017-04-01 21:58:24,"iPhone7,2",10.2.1,1.1
40.8945617676,-74.0155944824,40.0529823303,2017-04-01 22:02:40,"iPhone7,2",10.2.1,1.1
40.8560676575,-73.9723434448,94.2104721069,2017-04-01 22:06:56,"iPhone7,2",10.2.1,1.1
40.8405914307,-73.975692749,83.6405334473,2017-04-01 22:13:20,"iPhone7,2",10.2.1,1.1
40.8150482178,-73.9911880493,78.7102966309,2017-04-01 22:17:36,"iPhone7,2",10.2.1,1.1
40.8042221069,-73.9904251099,6.34349060059,2017-04-01 22:21:52,"iPhone7,2",10.2.1,1.1
40.7926750183,-73.9981613159,3.6115629673,2017-04-02 00:00:00,"iPhone7,2",10.2.1,1.1
40.8071136475,-73.9888000488,3.63006973267,2017-04-02 04:13:52,"iPhone7,2",10.2.1,1.1
40.8044509888,-73.9936676025,7.84881210327,2017-04-02 12:48:00,"iPhone7,2",10.2.1,1.1
40.8030662537,-73.9909286499,5.31042480469,2017-04-02 19:24:48,"iPhone7,2",10.2.1,1.1
40.7988319397,-73.9950332642,6.64586257935,2017-04-03 11:50:24,"iPhone7,2",10.2.1,1.1
40.7858390808,-74.0026931763,11.3774032593,2017-04-03 11:54:40,"iPhone7,2",10.2.1,1.1
40.7656478882,-74.0152893066,10.4313735962,2017-04-03 12:03:12,"iPhone7,2",10.2.1,1.1
40.7591781616,-74.0241928101,15.3380775452,2017-04-03 12:09:36,"iPhone7,2",10.2.1,1.1
40.755241394,-73.9981536865,9.06566905975,2017-04-03 12:18:08,"iPhone7,2",10.2.1,1.1
40.7566184998,-73.992149353,16.1027622223,2017-04-03 12:24:32,"iPhone7,2",10.2.1,1.1
40.7544250488,-73.9869689941,18.2142314911,2017-04-03 12:35:12,"iPhone7,2",10.2.1,1.1
40.7452507019,-73.98878479,15,2017-04-03 12:41:36,"iPhone7,2",10.2.1,1.1
40.7179031372,-74.0001220703,11.5510940552,2017-04-03 12:45:52,"iPhone7,2",10.2.1,1.1
40.7302703857,-73.9928359985,15,2017-04-03 12:52:16,"iPhone7,2",10.2.1,1.1
40.7356338501,-73.9906845093,15,2017-04-03 22:11:12,"iPhone7,2",10.2.1,1.1
40.7495346069,-73.9880371094,15,2017-04-03 22:17:36,"iPhone7,2",10.2.1,1.1
40.7564506531,-73.9915313721,14.0813770294,2017-04-03 22:28:16,"iPhone7,2",10.2.1,1.1
40.7588272095,-73.9980163574,16.1490726471,2017-04-03 22:41:04,"iPhone7,2",10.2.1,1.1
40.7640533447,-74.0156707764,16.4538288116,2017-04-03 22:49:36,"iPhone7,2",10.2.1,1.1
40.7826156616,-74.0059356689,7.05140590668,2017-04-03 23:00:16,"iPhone7,2",10.2.1,1.1
40.8057899475,-73.9940032959,7.27278327942,2017-04-03 23:06:40,"iPhone7,2",10.2.1,1.1
40.8191566467,-73.9883728027,37,2017-04-04 13:26:24,"iPhone7,2",10.2.1,1.1
40.8399734497,-73.9874267578,71.9888839722,2017-04-04 13:32:48,"iPhone7,2",10.2.1,1.1
40.8357429504,-73.9906234741,68.8675994873,2017-04-04 13:43:28,"iPhone7,2",10.2.1,1.1
40.8147926331,-73.9897766113,37,2017-04-04 13:49:52,"iPhone7,2",10.2.1,1.1
40.8041877747,-73.9905014038,4.5209941864,2017-04-04 13:54:08,"iPhone7,2",10.2.1,1.1
40.8042373657,-73.9903945923,5.75067281723,2017-04-04 13:58:24,"iPhone7,2",10.2.1,1.1
40.7954788208,-73.9921798706,5.75067281723,2017-04-04 14:00:32,"iPhone7,2",10.2.1,1.1
40.7893943787,-73.9934082031,5.75067281723,2017-04-04 14:00:32,"iPhone7,2",10.2.1,1.1
40.8042907715,-73.9903564453,6.8274731636,2017-04-04 14:00:32,"iPhone7,2",10.2.1,1.1
40.8040122986,-73.9911117554,7.45965003967,2017-04-04 14:02:40,"iPhone7,2",10.2.1,1.1
40.8002052307,-73.994392395,12.9289045334,2017-04-04 15:21:36,"iPhone7,2",10.2.1,1.1
40.7744255066,-74.0134887695,53,2017-04-04 15:28:00,"iPhone7,2",10.2.1,1.1
40.7599182129,-74.0223693848,4.75889015198,2017-04-04 15:32:16,"iPhone7,2",10.2.1,1.1
40.7574501038,-73.995223999,12.0096874237,2017-04-04 15:40:48,"iPhone7,2",10.2.1,1.1
40.7544136047,-73.9869537354,19.4025669098,2017-04-04 15:55:44,"iPhone7,2",10.2.1,1.1
